	2200
Just	4
He	65
invisible	5
selling	1
convinced	1
Beside	1
goodbye	1
important	12
set	10
ideas	2
agree	1
resemblance	1
straying	1
Of	2
purple	1
started	1
name	2
exclaim	1
information	1
bushes	5
During	1
relaxation	1
poetic	1
rite	2
Give	1
There	12
broken	1
courteously	2
thank	1
looked	17
about	33
takes	1
stood	2
Send	1
o	3
career	2
many	6
course	2
send	3
rush	1
repose	1
900	1
alike	3
waved	1
sees	3
body	2
Look	4
forever	3
111	1
flow	1
play	3
start	2
while	1
say	21
gazed	3
horns	2
air	6
rest	5
attempt	1
When	20
remained	1
money	1
attack	1
His	4
weapons	1
change	4
tame	9
Because	7
laugh	2
reverie	1
United	1
inside	7
masterpiece	1
shop	1
distinguish	1
should	22
balderdash	1
wherever	1
smile	2
Over	5
Unfortunately	2
wishes	2
tragic	1
Whomever	1
own	14
edge	1
underneath	1
Anything	1
Tie	1
realize	1
image	1
towns	3
wonderful	2
11	1
sun	5
Congress	1
off	6
attend	2
high	2
speak	4
pretty	2
Geographies	1
abashed	2
sums	1
Whether	1
seated	1
understood	2
assembly	1
aside	1
fields	3
last	15
brick	1
3	1
offer	1
weariness	1
you	227
runs	1
minded	1
Indeed	1
permit	1
than	14
throbs	1
Midnight	1
corner	1
matters	11
beginning	3
know	33
copy	1
song	2
stuck	1
gesture	2
collect	1
concentrated	1
ridges	1
new	4
Ah	16
desk	1
brothers	1
lonely	2
seek	1
sand	9
meets	1
baobabs	17
treat	2
altogether	5
metres	1
voice	4
abyss	1
pain	1
grumbled	1
sands	2
prey	1
island	1
steadily	2
caravan	1
kingdom	1
beg	2
crying	1
islet	1
possessed	1
sobbing	1
sorry	2
Absurd	1
Accepted	1
tragedy	1
Stories	1
million	6
carry	3
such	9
dare	3
forgetting	1
globe	7
Ambassador	1
chance	3
point	1
walls	1
tire	1
worst	1
waters	1
etiquette	1
walking	3
memory	2
Mass	1
listened	3
metallic	1
smiled	2
Are	6
moment	10
described	1
examine	1
glass	7
angry	1
shrugging	1
games	1
girls	1
foolish	1
Having	1
rumpled	1
directed	1
impossible	1
poison	1
quench	1
let	9
disaster	1
next	3
tonight	1
discipline	1
seized	2
beyond	2
complex	1
thought	10
bank	1
catch	1
noise	3
discuss	1
after	6
inhabited	8
na飗e	1
forehead	2
return	4
asteroid	5
sank	1
age	2
gives	1
na飗	1
valuable	1
roads	1
glance	3
get	10
order	12
good	24
Arizona	1
fat	1
converses	1
Somewhere	1
blinked	1
three	16
asleep	3
empty	2
known	6
climbed	1
run	3
loves	2
sweet	2
gold	2
breathe	1
locomotive	1
festival	1
make	28
among	8
boas	2
becoming	1
double	1
naturally	1
honest	1
forbidding	1
Twenty	2
fellow	1
wells	2
mopped	1
repeated	5
eyes	8
eye	3
humble	1
sorrow	2
fragile	3
rapidly	1
Wheat	1
shuts	1
making	5
example	6
success	1
slightly	2
suppose	1
moaned	1
whatever	1
oneself	1
gifts	1
golden	6
tree	2
achievement	1
inseparable	1
greatest	2
fifth	2
assure	1
moving	1
adornment	1
besides	2
plants	4
shrug	1
tales	1
sure	11
descent	1
forest	1
Asteroid	3
Astronomical	1
afar	1
thoughts	2
at	92
19	1
shine	1
universal	1
planets	4
born	3
visits	6
Ask	1
star	11
roots	2
Anywhere	1
overcome	1
music	3
worth	2
4	1
second	5
hunters	3
color	5
majestically	1
actions	1
position	1
sleep	10
mere	1
fox	37
sold	1
tended	1
butterfly	1
misfortunes	1
working	2
number	3
Straight	2
travel	3
Where	7
golf	1
steps	3
ups	22
comfort	1
done	3
recognise	1
piece	1
neckties	1
examining	1
oceans	2
seems	2
resounded	1
forgot	3
says	2
justice	1
patience	1
carelessly	1
rushing	1
Two	4
poor	2
wanted	4
half	2
catastrophe	2
scorned	1
26	1
army	2
discovers	2
sunset	11
care	3
side	2
Australia	1
asteroids	1
astounded	1
primeval	2
spectacle	1
present	5
billion	1
break	1
thorns	12
jumped	1
geographer	23
hesitated	1
response	1
command	1
myself	19
guessed	1
goes	4
requires	2
responsible	5
plunged	1
buried	2
extinct	8
discouraged	1
sad	8
remembered	4
complete	5
humanity	1
friends	6
threw	1
27	1
preceding	1
footstool	1
daybreak	2
5	1
fumble	1
sound	3
everything	11
hair	3
remember	6
roaring	1
one	111
matter	10
earliest	1
along	5
stretched	1
all	90
geography	3
receive	1
coming	5
settled	1
imagination	1
darkness	2
house	10
large	4
tired	5
boys	1
necessity	1
suggestion	1
shelter	2
stately	1
astonished	1
prepared	1
asunder	1
had	78
wind	6
knowing	1
young	2
truly	1
Flies	1
speedy	2
use	11
doves	1
perform	1
hanging	1
forests	1
uncertainly	1
may	9
string	1
holes	1
drafts	3
weeping	1
long	16
Christmas	1
Ashamed	2
herself	6
mechanic	1
fly	3
